id;cca2;continents;currencies;flag;languages;population;capital;bbox
e353e5e8-6302-470a-8820-952af16881bc;MZ;Africa;Mozambican metical;🇲🇿;Portuguese;34090466;Maputo;30.2217773438,-26.8616210938,40.84453125,-10.4643554688
725e4c86-296d-4954-8f13-f0de3ea6c3e4;KI;Oceania;Australian dollar,Kiribati dollar;🇰🇮;English,Gilbertese;120740;South Tarawa;169.522949,-11.456836,208.217383,3.923535
b9c709b8-9f0b-40b1-aef0-7f36d4c031aa;HT;North America;Haitian gourde;🇭🇹;French,Haitian Creole;11867032;Port-au-Prince;-74.478125,18.0391601563,-71.6453125,20.0936523438
3f370e73-0b0f-4672-8738-e1f39611e7e9;KH;Asia;Cambodian riel,United States dollar;🇰🇭;Khmer;17577760;Phnom Penh;102.319726563,10.4112304687,107.60546875,14.705078125
eb0a68ee-91a8-47d1-9c73-a3b23ebf2911;EG;Africa;Egyptian pound;🇪🇬;Arabic;107271260;Cairo;24.7032226563,21.9948730469,36.8713867188,31.6549804687
e156df3f-c1b7-4f42-b8a0-55281e85350a;TM;Asia;Turkmenistan manat;🇹🇲;Russian,Turkmen;7057841;Ashgabat;52.4938476563,35.1708007813,66.629296875,42.7784667969
1bcc0267-da35-4fca-bcaf-f242589a8d89;OM;Asia;Omani rial;🇴🇲;Arabic;5343630;Muscat;51.9776367188,16.6483886719,59.8375,26.3563476563
310938e7-5040-4b33-b749-0f1f4e3d84e9;JM;North America;Jamaican dollar;🇯🇲;English,Jamaican Patois;2825544;Kingston;-78.3395019531,17.7149414062,-76.2107910156,18.5222167969
d39c7f0a-915a-4f2d-9759-0ce6b8ab1118;AZ;Europe,Asia;Azerbaijani manat;🇦🇿;Azerbaijani;10241722;Baku;44.7682617188,38.3987304687,50.3659179688,41.8909667969
d853f04e-7485-4542-b475-20571f4c5cc4;SK;Europe;euro;🇸🇰;Slovak;5413813;Bratislava;16.8626953125,47.7634277344,22.538671875,49.5977050781
1287872d-0680-48f5-be61-a2ab0d744590;BY;Europe;Belarusian ruble;🇧🇾;Belarusian,Russian;9109280;Minsk;23.1750976563,51.2650390625,32.7102539063,56.1458007812
